epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1751.46,0.62409,0.3652,0.89654,0.83155,0.79402,0.8493,0.51652,1.19225,0.65069,1.18988,0.000848969,0.000848969,0.000848969
43,1792.85,0.61844,0.37168,0.89968,0.85938,0.79186,0.85448,0.52958,1.13938,0.62395,1.14254,0.000834822,0.000834822,0.000834822
44,1834.12,0.60551,0.36069,0.8882,0.82482,0.81815,0.86423,0.52914,1.15895,0.60285,1.14726,0.000820675,0.000820675,0.000820675
45,1875.54,0.61418,0.36693,0.89233,0.84698,0.79986,0.84892,0.52716,1.14021,0.61879,1.1376,0.000806528,0.000806528,0.000806528
46,1916.87,0.60501,0.36068,0.89047,0.82904,0.77292,0.85257,0.53335,1.15665,0.64281,1.14473,0.00079238,0.00079238,0.00079238
47,1958.75,0.59365,0.34715,0.89022,0.84425,0.79577,0.85238,0.53018,1.13226,0.60891,1.13595,0.000778233,0.000778233,0.000778233
48,2000.03,0.60535,0.35441,0.88983,0.86383,0.78006,0.85978,0.53959,1.1283,0.59323,1.1343,0.000764086,0.000764086,0.000764086
49,2041.97,0.58209,0.35157,0.8911,0.86085,0.79057,0.85971,0.53133,1.14649,0.59545,1.13901,0.000749939,0.000749939,0.000749939
50,2083.2,0.58339,0.35094,0.88449,0.87495,0.80264,0.86293,0.5416,1.12746,0.60058,1.1254,0.000735792,0.000735792,0.000735792
51,2124.95,0.58215,0.34467,0.8854,0.83169,0.81434,0.86443,0.54575,1.12037,0.60204,1.11801,0.000721645,0.000721645,0.000721645
52,2166.66,0.58629,0.35234,0.89276,0.81797,0.81641,0.8534,0.53466,1.13073,0.59483,1.14001,0.000707498,0.000707498,0.000707498
53,2207.78,0.58047,0.34725,0.88923,0.86554,0.8207,0.8719,0.55028,1.1094,0.57878,1.11913,0.000693351,0.000693351,0.000693351
54,2249.48,0.56757,0.33852,0.88445,0.84564,0.80809,0.8603,0.53364,1.12707,0.57689,1.12784,0.000679204,0.000679204,0.000679204
55,2290.63,0.56022,0.32881,0.88035,0.84647,0.82542,0.86698,0.54943,1.11728,0.58782,1.13556,0.000665057,0.000665057,0.000665057
56,2331.91,0.55204,0.3281,0.88319,0.83364,0.83377,0.86678,0.55104,1.11773,0.57353,1.1353,0.000650909,0.000650909,0.000650909
57,2373.52,0.55319,0.33174,0.87648,0.84306,0.82354,0.86512,0.54387,1.10273,0.57841,1.11564,0.000636762,0.000636762,0.000636762
58,2414.72,0.54547,0.32223,0.87733,0.85027,0.7986,0.86194,0.54959,1.09875,0.58454,1.11253,0.000622615,0.000622615,0.000622615
59,2455.87,0.54566,0.32116,0.87867,0.83272,0.81595,0.86452,0.54874,1.12305,0.58294,1.12696,0.000608468,0.000608468,0.000608468
60,2497.02,0.55175,0.32913,0.88106,0.83446,0.82088,0.86756,0.53896,1.12763,0.57723,1.13153,0.000594321,0.000594321,0.000594321
61,2538.23,0.54085,0.32053,0.88031,0.82239,0.82682,0.8722,0.55509,1.1244,0.57653,1.12156,0.000580174,0.000580174,0.000580174
62,2579.89,0.52596,0.31704,0.87234,0.85046,0.82844,0.87827,0.5489,1.10402,0.55876,1.1137,0.000566027,0.000566027,0.000566027
63,2621.06,0.52988,0.30828,0.87411,0.86542,0.84068,0.88154,0.56116,1.07528,0.54879,1.1099,0.00055188,0.00055188,0.00055188
64,2662.58,0.53835,0.3183,0.87832,0.85031,0.81079,0.87016,0.55148,1.10937,0.58306,1.12531,0.000537733,0.000537733,0.000537733
65,2703.8,0.52131,0.31589,0.87379,0.84257,0.8358,0.88296,0.56052,1.11579,0.55119,1.13002,0.000523586,0.000523586,0.000523586
66,2744.88,0.52057,0.30556,0.87941,0.8824,0.80129,0.88027,0.56186,1.10407,0.55871,1.11962,0.000509438,0.000509438,0.000509438
67,2786.48,0.51493,0.30776,0.87772,0.85825,0.84091,0.88594,0.56382,1.11024,0.55043,1.11514,0.000495291,0.000495291,0.000495291
68,2828.28,0.51597,0.30251,0.87385,0.86698,0.80889,0.871,0.55289,1.08723,0.56388,1.10925,0.000481144,0.000481144,0.000481144
69,2869.32,0.51087,0.30362,0.8713,0.8819,0.81732,0.88097,0.56692,1.0832,0.55934,1.10571,0.000466997,0.000466997,0.000466997
70,2910.77,0.5023,0.29475,0.87287,0.85872,0.81515,0.87356,0.56226,1.07028,0.56635,1.09479,0.00045285,0.00045285,0.00045285
71,2951.85,0.50886,0.29961,0.87508,0.85855,0.82634,0.87961,0.56524,1.08149,0.55994,1.11614,0.000438703,0.000438703,0.000438703
72,2992.93,0.5046,0.28739,0.87287,0.86984,0.83846,0.88274,0.56879,1.07586,0.53484,1.10288,0.000424556,0.000424556,0.000424556
73,3034.46,0.49512,0.28896,0.87149,0.86945,0.82602,0.88567,0.56495,1.06989,0.53412,1.10397,0.000410409,0.000410409,0.000410409
74,3075.55,0.4911,0.28781,0.86857,0.86448,0.82491,0.8778,0.56786,1.06085,0.54739,1.09784,0.000396262,0.000396262,0.000396262
75,3116.71,0.49241,0.28578,0.87302,0.86639,0.83012,0.87704,0.56377,1.07711,0.53626,1.10363,0.000382115,0.000382115,0.000382115
76,3157.8,0.48799,0.28713,0.87333,0.88267,0.83976,0.88603,0.56716,1.07344,0.53201,1.10523,0.000367967,0.000367967,0.000367967
77,3198.93,0.47395,0.28049,0.86412,0.85507,0.83839,0.88031,0.56096,1.0848,0.54862,1.11167,0.00035382,0.00035382,0.00035382
78,3240.14,0.48391,0.27908,0.87012,0.88124,0.83157,0.87745,0.56723,1.07489,0.54723,1.10452,0.000339673,0.000339673,0.000339673
79,3281.33,0.4695,0.27623,0.86196,0.86766,0.83472,0.88114,0.56561,1.07337,0.54586,1.10214,0.000325526,0.000325526,0.000325526
80,3322.71,0.47099,0.27381,0.86563,0.86203,0.82174,0.8811,0.56525,1.07729,0.53763,1.10614,0.000311379,0.000311379,0.000311379
81,3363.92,0.45767,0.2722,0.8589,0.85845,0.83959,0.88268,0.5624,1.07761,0.53672,1.10677,0.000297232,0.000297232,0.000297232
82,3405.16,0.4599,0.26654,0.8666,0.87402,0.81412,0.87683,0.56474,1.07498,0.54867,1.0962,0.000283085,0.000283085,0.000283085
83,3446.44,0.46574,0.27189,0.86535,0.87865,0.82853,0.88606,0.57411,1.06348,0.5342,1.09471,0.000268938,0.000268938,0.000268938
84,3487.99,0.4547,0.26354,0.86352,0.88431,0.83525,0.89486,0.5732,1.06325,0.52641,1.09354,0.000254791,0.000254791,0.000254791
85,3529.48,0.44797,0.2573,0.85717,0.88404,0.8252,0.88833,0.57365,1.08458,0.54672,1.11141,0.000240644,0.000240644,0.000240644
86,3570.64,0.45103,0.25736,0.8568,0.8816,0.8212,0.89005,0.57405,1.07953,0.54231,1.11201,0.000226497,0.000226497,0.000226497
87,3612.1,0.44927,0.26313,0.86009,0.87157,0.84052,0.89186,0.57352,1.07411,0.53956,1.10135,0.000212349,0.000212349,0.000212349
